name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,72,85,72,85,72,85,0.0,68,80,6.081081081081082,2025-11-23
চাল (মাঝারী)পাইজাম/আটাশ,প্রতি কেজি,58,70,58,70,60,70,-1.5384615384615383,59,65,3.225806451612903,2025-11-23
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,54,60,54,60,55,60,-0.8695652173913043,50,55,8.571428571428571,2025-11-23
আটা সাদা (খোলা),প্রতি কেজি,45,50,45,50,45,52,-2.061855670103093,40,45,11.76470588235294,2025-11-23
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,55,62,55,62,55,65,-2.5,50,55,11.428571428571429,2025-11-23
ময়দা (খোলা),প্রতি কেজি,55,65,55,65,55,65,0.0,55,60,4.3478260869565215,2025-11-23
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,75,65,75,65,75,0.0,65,75,0.0,2025-11-23
সয়াবিন তেল (লুজ),প্রতি লিটার,170,180,170,180,172,180,-0.5681818181818182,168,170,3.5502958579881656,2025-11-23
সয়াবিন তেল (বোতল),৫ লিটার,900,925,900,925,910,930,-0.8152173913043478,815,818,11.757501530924678,2025-11-23
সয়াবিন তেল (বোতল),2 লিটার,375,385,375,385,375,385,0.0,330,340,13.432835820895525,2025-11-23
সয়াবিন তেল (বোতল),১ লিটার,189,192,189,192,189,195,-0.78125,167,170,13.056379821958458,2025-11-23
পাম অয়েল (লুজ),প্রতি লিটার,150,162,150,162,155,162,-1.5772870662460567,157,159,-1.2658227848101269,2025-11-23
সুপার পাম অয়েল (লুজ),প্রতি লিটার,155,165,155,165,158,165,-0.9287925696594428,161,162,-0.9287925696594428,2025-11-23
রাইস ব্রান তেল (বোতল),৫ লিটার,1030,1080,1030,1080,1030,1080,0.0,980,1030,4.975124378109453,2025-11-23
মশুর ডাল (বড় দানা),প্রতি কেজি,90,110,90,110,95,110,-2.4390243902439024,105,110,-6.976744186046512,2025-11-23
মশুর ডাল (মাঝারী দানা),প্রতি কেজি,125,140,125,140,120,140,1.9230769230769231,110,120,15.217391304347828,2025-11-23
মশুর ডাল (ছোট দানা),প্রতি কেজি,150,160,150,160,150,160,0.0,130,135,16.9811320754717,2025-11-23
মুগ ডাল (মানভেদে),প্রতি কেজি,130,180,140,180,120,180,3.333333333333333,150,180,-6.0606060606060606,2025-11-23
এ্যাংকর ডাল,প্রতি কেজি,60,75,60,75,60,80,-3.571428571428571,75,80,-12.903225806451612,2025-11-23
ছোলা (মানভেদে),প্রতি কেজি,100,110,100,110,100,110,0.0,125,140,-20.75471698113208,2025-11-23
আলু (মানভেদে),প্রতি কেজি,20,25,20,25,20,25,0.0,75,85,-71.875,2025-11-23
পিঁয়াজ (দেশী),প্রতি কেজি,100,120,100,120,70,80,46.66666666666666,120,130,-12.0,2025-11-23
পিঁয়াজ (আমদানি),প্রতি কেজি,0,0,0,0,0,0,,85,110,-100.0,2025-11-23
রসুন (দেশী),প্রতি কেজি,80,140,90,150,100,140,-8.333333333333332,240,280,-57.692307692307686,2025-11-23
রসুন (আমদানি),প্রতি কেজি,160,200,160,220,130,200,9.090909090909092,230,250,-25.0,2025-11-23
শুকনা মরিচ (দেশী),প্রতি কেজি,200,320,200,320,200,350,-5.454545454545454,250,350,-13.333333333333334,2025-11-23
শুকনা মরিচ (আমদানি),প্রতি কেজি,300,350,300,350,300,400,-7.142857142857142,350,450,-18.75,2025-11-23
হলুদ (দেশী),প্রতি কেজি,300,400,300,400,300,400,0.0,320,400,-2.7777777777777777,2025-11-23
হলুদ (আমদানি),প্রতি কেজি,300,420,300,420,300,420,0.0,250,300,30.909090909090907,2025-11-23
আদা (দেশী),প্রতি কেজি,140,180,150,180,0,0,,450,500,-66.3157894736842,2025-11-23
আদা (আমদানি),প্রতি কেজি,150,220,150,220,130,250,-2.631578947368421,140,300,-15.909090909090908,2025-11-23
জিরা,প্রতি কেজি,600,750,600,750,600,750,0.0,630,800,-5.594405594405594,2025-11-23
দারুচিনি,প্রতি কেজি,480,600,480,600,480,600,0.0,470,580,2.857142857142857,2025-11-23
লবঙ্গ,প্রতি কেজি,1350,1600,1350,1600,1350,1600,0.0,1300,1600,1.7241379310344829,2025-11-23
এলাচ(ছোট),প্রতি কেজি,4800,5500,4800,5500,4800,5500,0.0,3400,4250,34.64052287581699,2025-11-23
ধনে,প্রতি কেজি,190,280,190,280,200,280,-2.083333333333333,230,300,-11.320754716981131,2025-11-23
তেজপাতা,প্রতি কেজি,160,225,160,225,200,225,-9.411764705882351,120,210,16.666666666666664,2025-11-23
রুই,প্রতি কেজি,300,450,300,450,300,450,0.0,300,450,0.0,2025-11-23
ইলিশ,প্রতি কেজি,800,1800,800,1800,0,0,,600,1600,18.181818181818183,2025-11-23
গরু,প্রতি কেজি,750,800,750,800,750,800,0.0,750,800,0.0,2025-11-23
খাসী,প্রতি কেজি,1000,1200,1000,1200,1000,1200,0.0,950,1150,4.761904761904762,2025-11-23
মুরগী(ব্রয়লার),প্রতি কেজি,160,190,170,185,170,185,-1.4084507042253522,180,200,-7.894736842105263,2025-11-23
মুরগী (দেশী),প্রতি কেজি,550,650,550,650,550,650,0.0,480,600,11.11111111111111,2025-11-23
ডানো,১ কেজি,720,860,720,860,720,860,0.0,740,820,1.282051282051282,2025-11-23
ডিপ্লোমা (নিউজিল্যান্ড),১ কেজি,850,920,850,920,850,920,0.0,800,840,7.926829268292683,2025-11-23
ফ্রেশ,১ কেজি,830,890,830,890,830,890,0.0,775,820,7.836990595611286,2025-11-23
মার্কস,১ কেজি,830,900,830,900,830,900,0.0,780,830,7.453416149068323,2025-11-23
চিনি,প্রতি কেজি,95,110,95,110,100,110,-2.380952380952381,125,135,-21.153846153846157,2025-11-23
খেজুর(সাধারণ মানের),প্রতি কেজি,200,550,200,550,220,550,-2.5974025974025974,250,500,0.0,2025-11-23
লবণ(প্যাঃ)আয়োডিনযুক্ত,প্রতি কেজি,38,42,38,42,38,42,0.0,38,42,0.0,2025-11-23
ডিম (ফার্ম),প্রতি হালি,40,50,43,50,45,50,-5.263157894736842,48,50,-8.16326530612245,2025-11-23
