name,unit,today_min,today_max,week_min,week_max,month_min,month_max,month_change,year_min,year_max,year_change,date
চাল সরু (নাজির/মিনিকেট),প্রতি কেজি,64,80,64,80,60,78,4.3478260869565215,60.0,72.0,9.090909090909092,2024-08-31
চাল (মাঝারী)পাইজাম/লতা,প্রতি কেজি,55,60,55,60,54,58,2.6785714285714284,50.0,55.0,9.523809523809524,2024-08-31
চাল (মোটা)/স্বর্ণা/চায়না ইরি,প্রতি কেজি,52,55,52,55,50,54,2.8846153846153846,48.0,50.0,9.183673469387756,2024-08-31
আটা সাদা (খোলা),প্রতি কেজি,40,45,40,45,40,45,0.0,45.0,50.0,-10.526315789473683,2024-08-31
আটা (প্যাকেট),প্রতি কেজি প্যাঃ,50,55,50,55,50,55,0.0,55.0,60.0,-8.695652173913043,2024-08-31
ময়দা (খোলা),প্রতি কেজি,55,60,55,60,55,60,0.0,55.0,60.0,0.0,2024-08-31
ময়দা (প্যাকেট),প্রতি কেজি প্যাঃ,65,70,65,70,65,70,0.0,65.0,70.0,0.0,2024-08-31
সয়াবিন তেল (লুজ),প্রতি লিটার,145,152,145,152,145,155,-1.0,155.0,160.0,-5.714285714285714,2024-08-31
সয়াবিন তেল (বোতল),৫ লিটার,780,810,780,810,780,800,0.6329113924050633,800.0,850.0,-3.636363636363636,2024-08-31
সয়াবিন তেল (বোতল),১ লিটার,165,167,165,167,165,167,0.0,170.0,175.0,-3.768115942028986,2024-08-31
পাম অয়েল (লুজ),প্রতি লিটার,130,135,125,135,125,135,1.9230769230769231,130.0,140.0,-1.851851851851852,2024-08-31
পাম অয়েল (সুপার),প্রতি লিটার,135,140,135,140,135,140,0.0,0.0,0.0,,2024-08-31
রাইস ব্রান তেল (বোতল),৫ লিটার,880,900,880,900,880,900,0.0,,,,2024-08-31
রাইস ব্রান তেল (বোতল),১ লিটার,180,190,180,190,180,200,-2.631578947368421,,,,2024-08-31
মশুর ডাল (বড় দানা),প্রতি কেজি,105,110,105,110,105,110,0.0,95.0,100.0,10.256410256410255,2024-08-31
মশূর ডাল (মাঝারী দানা),প্রতি কেজি,115,120,115,120,115,120,0.0,115.0,120.0,0.0,2024-08-31
মশুর ডাল (ছোট দানা),প্রতি কেজি,130,135,130,135,125,130,3.92156862745098,125.0,135.0,1.9230769230769231,2024-08-31
মুগ ডাল (মানভেদে),প্রতি কেজি,160,185,160,185,160,185,0.0,95.0,135.0,50.0,2024-08-31
এ্যাংকর ডাল,প্রতি কেজি,80,90,80,90,80,90,0.0,70.0,75.0,17.24137931034483,2024-08-31
ছোলা (মানভেদে),প্রতি কেজি,115,120,115,120,115,120,0.0,75.0,80.0,51.61290322580645,2024-08-31
আলু (মানভেদে),প্রতি কেজি,52,60,50,55,55,60,-2.608695652173913,42.0,45.0,28.735632183908045,2024-08-31
পিঁয়াজ (দেশী),প্রতি কেজি,110,120,110,120,110,120,0.0,80.0,90.0,35.294117647058826,2024-08-31
পিঁয়াজ (আমদানি),প্রতি কেজি,100,115,100,110,100,105,4.878048780487805,65.0,75.0,53.57142857142857,2024-08-31
রসুন(দেশী),প্রতি কেজি,200,230,190,220,200,220,2.380952380952381,220.0,240.0,-6.521739130434782,2024-08-31
রসুন (আমদানি),প্রতি কেজি,200,220,180,220,190,220,2.4390243902439024,220.0,240.0,-8.695652173913043,2024-08-31
শুকনা মরিচ (দেশী),প্রতি কেজি,320,400,320,400,320,400,0.0,380.0,420.0,-10.0,2024-08-31
শুকনা মরিচ (আমদানি),প্রতি কেজি,420,500,420,500,420,500,0.0,450.0,500.0,-3.1578947368421053,2024-08-31
হলুদ (দেশী),প্রতি কেজি,350,400,350,400,350,400,0.0,280.0,350.0,19.047619047619047,2024-08-31
হলুদ (আমদানি),প্রতি কেজি,300,350,300,350,300,350,0.0,250.0,280.0,22.641509433962263,2024-08-31
আদা (দেশী),প্রতি কেজি,450,500,450,500,450,500,0.0,420.0,450.0,9.195402298850574,2024-08-31
আদা (আমদানি),প্রতি কেজি,200,260,200,270,240,300,-14.814814814814811,180.0,250.0,6.976744186046512,2024-08-31
জিরা,প্রতি কেজি,650,750,650,800,700,800,-6.666666666666667,1100.0,1150.0,-37.77777777777778,2024-08-31
দারুচিনি,প্রতি কেজি,480,550,500,600,540,600,-9.649122807017545,450.0,500.0,8.421052631578947,2024-08-31
লবঙ্গ,প্রতি কেজি,1300,1500,1300,1500,1480,1700,-11.949685534591197,1500.0,1600.0,-9.67741935483871,2024-08-31
এলাচ(ছোট),প্রতি কেজি,3200,3600,3200,3600,3200,3600,0.0,1600.0,2600.0,61.90476190476191,2024-08-31
ধনে,প্রতি কেজি,220,260,220,260,200,250,6.666666666666667,220.0,240.0,4.3478260869565215,2024-08-31
তেজপাতা,প্রতি কেজি,150,200,150,200,150,200,0.0,130.0,150.0,25.0,2024-08-31
রুই,প্রতি কেজি,350,400,350,400,300,400,7.142857142857142,350.0,450.0,-6.25,2024-08-31
